date,total_pnl,median_pnl,pnl_std,win_rate,trade_count,avg_size_usd,total_volume,long_count,short_count,unique_traders,avg_fee,long_short_ratio,avg_pnl_per_trade,rolling_pnl_7d,value,classification,sentiment_binary,month
2024-02-14,3830.599833,16.74,46.39591290180694,0.7477477477477478,111,2890.4493693693694,320839.88,34,77,2,0.20646372972972976,0.441558441552707,34.509908405405405,1011.9644175714285,74,Greed,Greed,Feb
2024-02-15,1840.797677,13.15072,316.49357810076214,0.9047619047619048,63,2939.4926984126987,185188.04,52,11,2,0.4874015396825397,4.727272726842975,29.219010746031746,1305.7377867142857,72,Greed,Greed,Feb
2024-02-16,5491.768834,11.42332,123.4402416266129,0.8021978021978022,182,3103.826978021978,564896.51,115,67,2,0.14958884615384616,1.7164179104221429,30.174554032967034,2055.8130315714284,72,Greed,Greed,Feb
2024-02-17,1929.6418,4.1904,60.99818527497303,0.648936170212766,94,4320.405,406118.07,50,44,2,0.6601601382978723,1.13636363633781,20.52810425531915,2221.368142428571,76,Extreme Greed,Greed,Feb
2024-02-18,477.6248299999999,6.59648,82.70537448739243,0.6288659793814433,97,1619.0532989690723,157048.17,38,59,1,-0.032380670103092785,0.6440677965992532,4.923967319587628,2149.1083787142857,72,Greed,Greed,Feb
2024-02-19,4317.768563,10.73646,118.65122386431476,0.7524752475247525,101,2835.417821782178,286377.2,40,61,2,0.14705564356435644,0.655737704907283,42.750183792079206,2635.377918142857,75,Extreme Greed,Greed,Feb
2024-02-20,3263.628824,13.6526,192.32028933388216,0.7948717948717948,39,3062.0441025641026,119419.72,13,26,2,0.07881217948717949,0.4999999999807692,83.68279035897436,3021.6900515714287,72,Greed,Greed,Feb
2024-02-21,1858.7985700000002,25.544000000000004,124.40293552909927,0.6818181818181818,22,4911.250909090909,108047.51999999999,7,15,2,0.13502859090909092,0.46666666663555556,84.49084409090909,2740.004156857143,78,Extreme Greed,Greed,Feb
2024-02-22,3894.1050699999996,0.0,227.58249822355432,0.4318181818181818,88,4239.02125,373033.87,35,53,2,0.28923386363636366,0.6603773584781061,44.25119397727272,3033.333784428571,74,Greed,Greed,Feb
2024-02-23,1418.55293,7.189966,13.037213323027334,0.958041958041958,143,776.966013986014,111106.14,131,12,1,-0.014455027972027973,10.916666665756944,9.91995055944056,2451.4457981428573,76,Extreme Greed,Greed,Feb
2024-02-25,-30.7705,0.0,8.951179489427636,0.0,5,896.0260000000001,4480.13,2,3,1,-0.01792,0.6666666664444444,-6.1541,2171.3868981428573,74,Greed,Greed,Feb
